step,loss,mse,stft
step,loss,mse,stft
0,1.4174398183822632,1.044646143913269,3.7279367446899414
50,1.1800737380981445,0.8700703978538513,3.1000328063964844
100,1.020711064338684,0.7094263434410095,3.1128475666046143
150,0.7876369953155518,0.5257791876792908,2.6185779571533203
200,1.193299412727356,0.8776572942733765,3.156420946121216
250,0.9889370203018188,0.7247668504714966,2.6417014598846436
300,0.9226486682891846,0.642832338809967,2.7981629371643066
350,0.8404009342193604,0.5504701733589172,2.8993072509765625
400,1.0232971906661987,0.7471746802330017,2.7612249851226807
450,0.8275622129440308,0.6007347106933594,2.268275022506714
500,0.9945648908615112,0.6892341375350952,3.05330753326416
550,0.9329091310501099,0.6965159177780151,2.3639321327209473
600,0.8176344633102417,0.5666902661323547,2.50944185256958
650,0.9645805358886719,0.709927499294281,2.54653000831604
700,0.8418823480606079,0.5944029688835144,2.4747934341430664
750,0.8427266478538513,0.5944747924804688,2.4825186729431152
800,0.8815183639526367,0.6366766095161438,2.4484176635742188
850,0.8108595609664917,0.5265324115753174,2.8432717323303223
900,1.507346510887146,1.247878074645996,2.594684362411499
950,0.7943427562713623,0.5423493981361389,2.5199339389801025
1000,0.8626469969749451,0.5996808409690857,2.6296615600585938
1050,0.8107186555862427,0.5655795335769653,2.4513912200927734
1100,0.9085772037506104,0.6407443284988403,2.678328275680542
1150,0.7314281463623047,0.46830642223358154,2.6312172412872314
1200,0.8740636706352234,0.6085129380226135,2.6555073261260986
1250,0.8517365455627441,0.5958132147789001,2.5592329502105713
1300,0.7909020781517029,0.5232000350952148,2.677020311355591
1350,0.7147629261016846,0.44300901889801025,2.717538833618164
1400,1.2792394161224365,0.9775310158729553,3.0170836448669434
1450,0.8865748047828674,0.6373193860054016,2.492554187774658
1500,0.8832972049713135,0.6421229243278503,2.411742687225342
1550,0.8667491674423218,0.6075267791748047,2.592223644256592
1600,0.7941800951957703,0.5088590383529663,2.85321044921875
1650,0.8443986177444458,0.5578104257583618,2.8658814430236816
1700,0.9242061972618103,0.6415503621101379,2.8265583515167236
1750,0.7316520810127258,0.46697160601615906,2.6468045711517334
1800,0.7373623847961426,0.4726295471191406,2.6473283767700195
1850,0.7946392297744751,0.5434049367904663,2.512343168258667
1900,0.8150966763496399,0.5720391869544983,2.430574893951416
1950,2.2849831581115723,1.9717353582382202,3.1324782371520996
2000,0.8288992047309875,0.5415401458740234,2.8735904693603516
