epoch,step,loss,base,stft_l1,snr_mean,lr
1,0,1.357016921043396,1.1009284257888794,2.560884714126587,103.8373794555664,0.0002
1,50,1.2343381643295288,1.029914379119873,2.0442378520965576,26.64095115661621,0.0002
1,100,0.8764255046844482,0.6809780597686768,1.9544740915298462,282.9825439453125,0.0002
1,150,0.8236573338508606,0.6375671029090881,1.8609024286270142,48.462947845458984,0.0002
1,200,0.8872677087783813,0.6713468432426453,2.1592087745666504,55.06639099121094,0.0002
1,250,0.9215162396430969,0.6948590278625488,2.2665719985961914,105.8407211303711,0.0002
1,300,0.8890173435211182,0.6629316806793213,2.2608566284179688,16.42583656311035,0.0002
1,350,0.9040857553482056,0.6907207369804382,2.1336498260498047,80.7231216430664,0.0002
1,400,0.85750412940979,0.6367282867431641,2.207758665084839,135.8917694091797,0.0002
2,450,0.927788257598877,0.7034780979156494,2.2431013584136963,149.58863830566406,0.0002
2,500,0.8744918704032898,0.6482175588607788,2.2627432346343994,31.913795471191406,0.0002
2,550,0.8965572714805603,0.6753614544868469,2.2119579315185547,130.412109375,0.0002
2,600,0.8244342803955078,0.6253219246864319,1.9911234378814697,173.7145538330078,0.0002
2,650,0.8394848108291626,0.6349256038665771,2.0455920696258545,115.19711303710938,0.0002
2,700,0.8396483063697815,0.6153259873390198,2.243223190307617,129.59608459472656,0.0002
2,750,0.8450754880905151,0.6199175119400024,2.251579999923706,37.64710235595703,0.0002
2,800,0.8127026557922363,0.6193932294845581,1.9330945014953613,48.801780700683594,0.0002
3,850,0.8679973483085632,0.6400969624519348,2.279003620147705,110.10122680664062,0.0002
3,900,0.8517703413963318,0.6402887105941772,2.114816188812256,225.0670623779297,0.0002
3,950,0.8182101845741272,0.5945529937744141,2.236571788787842,232.00709533691406,0.0002
3,1000,0.8531494140625,0.6407724618911743,2.123769521713257,168.04791259765625,0.0002
3,1050,0.9469730854034424,0.7399623394012451,2.0701074600219727,208.8603057861328,0.0002
3,1100,0.8989764451980591,0.6787064075469971,2.20270037651062,150.41513061523438,0.0002
3,1150,0.8151423931121826,0.6176097393035889,1.975326657295227,116.22212219238281,0.0002
3,1200,0.8113186359405518,0.6016273498535156,2.0969130992889404,283.44580078125,0.0002
4,1250,0.7980380058288574,0.5820217132568359,2.160163164138794,43.662078857421875,0.0002
4,1300,0.8593761324882507,0.6459509134292603,2.1342523097991943,44.72721862792969,0.0002
4,1350,0.8510814309120178,0.6213871240615845,2.296943187713623,18.05916976928711,0.0002
4,1400,0.8163966536521912,0.5967150926589966,2.1968157291412354,45.391117095947266,0.0002
4,1450,0.8142868876457214,0.6025053262710571,2.1178157329559326,37.725013732910156,0.0002
4,1500,0.7876430749893188,0.590715229511261,1.9692785739898682,181.530517578125,0.0002
4,1550,0.7295642495155334,0.5299679636955261,1.9959627389907837,38.28619384765625,0.0002
4,1600,0.643712043762207,0.46764373779296875,1.7606831789016724,121.51412963867188,0.0002
4,1650,0.6418843865394592,0.48034247756004333,1.6154192686080933,125.7109603881836,0.0002
5,1700,0.6351070404052734,0.470334529876709,1.647724986076355,35.27349090576172,0.0002
5,1750,0.5866109132766724,0.4438951015472412,1.4271583557128906,57.22986602783203,0.0002
5,1800,0.5278365015983582,0.38675612211227417,1.4108036756515503,26.993927001953125,0.0002
5,1850,0.5692570805549622,0.429573655128479,1.396834135055542,67.98228454589844,0.0002
5,1900,0.5706750750541687,0.4310593903064728,1.396156907081604,57.07572555541992,0.0002
5,1950,0.618455708026886,0.48179852962493896,1.3665719032287598,52.559818267822266,0.0002
