step,loss_total,loss_base,loss_stft,lr
145050,0.3533274233341217,0.2600030303001404,0.933243989944458,5e-05
145100,0.4165939688682556,0.34341269731521606,0.7318126559257507,5e-05
145150,0.4272126257419586,0.32471373677253723,1.0249888896942139,5e-05
145200,0.37219667434692383,0.2777867317199707,0.9440993666648865,5e-05
145250,0.3594313859939575,0.2717286944389343,0.8770268559455872,5e-05
145300,0.39065253734588623,0.30108800530433655,0.8956452012062073,5e-05
145350,0.34572741389274597,0.25516313314437866,0.9056426882743835,5e-05
145400,0.4386990964412689,0.35175466537475586,0.8694441914558411,5e-05
145450,0.4485975503921509,0.34969329833984375,0.9890424013137817,5e-05
145500,0.4180375933647156,0.32995617389678955,0.880814254283905,5e-05
145550,0.394822895526886,0.29745808243751526,0.9736481308937073,5e-05
145600,0.42181557416915894,0.3301170766353607,0.916985034942627,5e-05
145650,0.3445793390274048,0.26131922006607056,0.832601010799408,5e-05
145700,0.3427010476589203,0.2362382560968399,1.064628005027771,5e-05
145750,0.3670539855957031,0.28274083137512207,0.8431314826011658,5e-05
145800,0.3633500337600708,0.2802260220050812,0.8312402367591858,5e-05
145850,0.33188527822494507,0.24314457178115845,0.8874069452285767,5e-05
145900,0.36583155393600464,0.273407518863678,0.9242401719093323,5e-05
145950,0.3484772741794586,0.2571175694465637,0.9135969877243042,5e-05
146000,0.4341987371444702,0.32118290662765503,1.1301581859588623,5e-05
146050,0.37491920590400696,0.28656527400016785,0.8835393786430359,5e-05
146100,0.4293093681335449,0.33613455295562744,0.9317479729652405,5e-05
146150,0.4524328410625458,0.3561854362487793,0.9624741077423096,5e-05
146200,0.3699052333831787,0.2933723032474518,0.7653293013572693,5e-05
146250,0.4008903503417969,0.28533583879470825,1.1555451154708862,5e-05
146350,0.3202550411224365,0.21755331754684448,1.0270172357559204,5e-05
146400,0.3840542137622833,0.27787652611732483,1.0617767572402954,5e-05
146450,0.3178428113460541,0.22937121987342834,0.8847157955169678,5e-05
146500,0.2827724814414978,0.1955350786447525,0.8723739385604858,5e-05
146550,0.40463340282440186,0.3272368907928467,0.773965060710907,5e-05
146600,0.4395650625228882,0.3759896159172058,0.6357545852661133,5e-05
146650,0.367051362991333,0.28663551807403564,0.8041583299636841,5e-05
146700,0.34972473978996277,0.24462592601776123,1.0509880781173706,5e-05
146750,0.39338552951812744,0.31631937623023987,0.7706613540649414,5e-05
146800,0.3844006061553955,0.3023894429206848,0.8201115727424622,5e-05
146850,0.329787015914917,0.2252459079027176,1.0454111099243164,5e-05
146900,0.43254411220550537,0.35910946130752563,0.734346330165863,5e-05
146950,0.46163076162338257,0.3529057204723358,1.0872502326965332,5e-05
147000,0.3542529344558716,0.280653715133667,0.7359920144081116,5e-05
147050,0.5430163145065308,0.4502587914466858,0.9275750517845154,5e-05
147100,0.4121377468109131,0.31351569294929504,0.9862204790115356,5e-05
147150,0.3213885426521301,0.22954517602920532,0.9184336066246033,5e-05
147200,0.330239474773407,0.23915916681289673,0.9108030200004578,5e-05
147250,0.36198166012763977,0.2773018479347229,0.8467981219291687,5e-05
147300,0.33294668793678284,0.24305030703544617,0.8989637494087219,5e-05
147350,0.5124765634536743,0.4193636178970337,0.9311293959617615,5e-05
147400,0.3606567978858948,0.2757634222507477,0.8489336371421814,5e-05
147450,0.3603631258010864,0.27646753191947937,0.8389559984207153,5e-05
147500,0.39127233624458313,0.31477606296539307,0.7649626135826111,5e-05
147550,0.4350420832633972,0.3318241834640503,1.0321791172027588,5e-05
147600,0.3496558666229248,0.24597930908203125,1.036765694618225,5e-05
147650,0.3500075340270996,0.26486390829086304,0.8514363765716553,5e-05
147700,0.4260469973087311,0.3288085162639618,0.9723848104476929,5e-05
147750,0.3608595132827759,0.26908183097839355,0.9177767038345337,5e-05
147800,0.35796087980270386,0.2768165171146393,0.8114437460899353,5e-05
147850,0.3531336486339569,0.2803524136543274,0.7278122901916504,5e-05
147900,0.3712543547153473,0.27389323711395264,0.973611056804657,5e-05
147950,0.3119700849056244,0.23109176754951477,0.8087830543518066,5e-05
148000,0.3464917242527008,0.25299620628356934,0.9349551796913147,5e-05
148050,0.367176353931427,0.28215813636779785,0.8501821160316467,5e-05
148100,0.4740753769874573,0.3917210102081299,0.8235435485839844,5e-05
148150,0.3305267095565796,0.2549877464771271,0.7553897500038147,5e-05
148200,0.35834455490112305,0.2856347858905792,0.7270975112915039,5e-05
148250,0.3825775384902954,0.25219839811325073,1.3037914037704468,5e-05
148300,0.37628045678138733,0.28834769129753113,0.8793275952339172,5e-05
148350,0.3525896370410919,0.25617823004722595,0.9641140103340149,5e-05
148400,0.4101760983467102,0.3344724774360657,0.7570363283157349,5e-05
148450,0.44399169087409973,0.33139145374298096,1.126002311706543,5e-05
148500,0.372465044260025,0.25897109508514404,1.1349395513534546,5e-05
148550,0.3299392759799957,0.24602118134498596,0.8391808271408081,5e-05
148600,0.40251511335372925,0.32325825095176697,0.7925684452056885,5e-05
148650,0.437722772359848,0.3523068130016327,0.8541594743728638,5e-05
148700,0.3047441244125366,0.2144859880208969,0.902581512928009,5e-05
148750,0.4008353352546692,0.3069858253002167,0.9384952187538147,5e-05
148800,0.4187041223049164,0.33428114652633667,0.8442297577857971,5e-05
148850,0.4240569472312927,0.3222298324108124,1.0182709693908691,5e-05
148900,0.32711324095726013,0.2294636368751526,0.9764959216117859,5e-05
148950,0.3992888331413269,0.3215394616127014,0.7774937748908997,5e-05
149000,0.33359187841415405,0.23766860365867615,0.9592325687408447,5e-05
149050,0.44626370072364807,0.365062952041626,0.8120074272155762,5e-05
149100,0.4238830804824829,0.32686352729797363,0.9701953530311584,5e-05
149150,0.3861740529537201,0.3031167984008789,0.8305726051330566,5e-05
149200,0.4100213646888733,0.3184518814086914,0.9156947135925293,5e-05
149250,0.3859051465988159,0.30365556478500366,0.8224958181381226,5e-05
149300,0.368893563747406,0.27454960346221924,0.9434395432472229,5e-05
149350,0.392742782831192,0.30521661043167114,0.875261664390564,5e-05
149400,0.38813304901123047,0.3075813353061676,0.8055170178413391,5e-05
149450,0.37245750427246094,0.3011382818222046,0.7131922841072083,5e-05
149500,0.354244202375412,0.2701462209224701,0.840979814529419,5e-05
149550,0.35928070545196533,0.27267488837242126,0.8660582304000854,5e-05
149600,0.3977324068546295,0.31956911087036133,0.7816330194473267,5e-05
149650,0.31764131784439087,0.22440090775489807,0.9324042201042175,5e-05
149700,0.3840080499649048,0.29975688457489014,0.8425117135047913,5e-05
149750,0.32966774702072144,0.24604079127311707,0.8362694382667542,5e-05
149800,0.37991341948509216,0.2803637385368347,0.9954967498779297,5e-05
